arm,region,seed,in_sample,corr,rmse,mae
UniAddN,TLC1,,False,0.0961020318155371,18.302036880586634,10.942943485900273
UniAddP,TLC1,,False,0.09610203181553699,18.302036880586634,10.942943485900273
UniAddNP,TLC1,,False,0.09610203181553698,18.302036880586638,10.942943485900273
GPM,TLC1,,False,0.029790816018620273,19.148865765091944,11.40423692973825
GPMpostN,TLC1,,False,0.05256503981416448,15.383043580310336,9.652870146979293
GPMpostP,TLC1,,False,0.2494582178084548,7.575062269420899,6.0112688458096075
GPMpostNP,TLC1,,False,0.2366300921703497,6.898430427760949,5.108092036460646
GPMaddN,TLC1,,False,0.01245838157994876,16.303741680207583,10.087830619612893
GPMaddP,TLC1,,False,0.02803984169481856,16.749735446705465,10.178624292611856
GPMaddNP,TLC1,,False,0.011681915949110906,17.187434148588757,10.404449456432756
Uni,TLC2,,False,0.218200469759471,13.317599564658364,9.191164274865848
UniN,TLC2,,False,0.24428016522070753,11.442806777687695,7.983177316115181
UniP,TLC2,,False,0.3664565544362727,7.634797840993414,5.873263816352887
UniNP,TLC2,,False,0.43693324717070015,6.382524596075061,5.008641863004736
UniAddN,TLC2,,False,0.2182004697594709,13.317599564658359,9.191164274865846
UniAddP,TLC2,,False,0.21820046975947094,13.317599564658359,9.191164274865844
UniAddNP,TLC2,,False,0.21820046975947094,13.317599564658359,9.191164274865844
GPM,TLC2,,False,0.267914200222287,11.701775769186229,8.097173526180335
GPMpostN,TLC2,,False,0.3044719309570273,10.06866200430988,7.311001218876254
GPMpostP,TLC2,,False,0.39118018720596504,7.117893208353164,5.6193030425943435
GPMpostNP,TLC2,,False,0.432814418494042,6.341465555429474,4.971643099245109
GPMaddN,TLC2,,False,0.3474264317830168,8.848930875772682,6.672571812983514
GPMaddP,TLC2,,False,0.3434403509131697,8.72443609974315,6.5167688166544515
GPMaddNP,TLC2,,False,0.3426176735384687,8.709505368492625,6.417322458932232
Uni,TLD6,,False,0.013709290246847772,8.673844783309297,6.403057144334889
UniN,TLD6,,False,0.10102635655325844,7.631512736471185,5.797879100724078
UniP,TLD6,,False,0.026471097387652236,6.942972120003007,5.381263598584913
UniNP,TLD6,,False,0.250604108526788,6.004353112136175,4.767999855121651
UniAddN,TLD6,,False,0.013709290246847824,8.673844783309297,6.403057144334889
UniAddP,TLD6,,False,0.013709290246847817,8.673844783309297,6.403057144334889
UniAddNP,TLD6,,False,0.013709290246847817,8.673844783309297,6.403057144334889
