country,region,arm,radius_km,dc_mw,eta,e_budget_mva,eps_max_mva,budget_realised,L_E,L_E_bound,L_S,L_S_bound,slack_E,slack_S,valid_E,valid_S
uk,London,LU-soft,10.0,300.0,0.9,789.3630541104086,556.5551330710423,True,15653155.8765716,237611601.46140125,0.0,177165778.2230602,221958445.58482966,177165778.2230602,True,True
uk,London,LU-soft,10.0,500.0,0.9,789.3630541104086,556.5551330710423,True,19410159.820997678,250388221.45105642,0.0,54429858.598105274,230978061.63005874,54429858.598105274,True,True
uk,London,LU-soft,10.0,100.0,1.0,885.4345675397078,556.5551330710423,True,6231823.777885925,243830027.73512092,788696.9699999989,354491712.9000433,237598203.957235,353703015.9300433,True,True
uk,London,LU-soft,10.0,300.0,1.0,885.4345675397078,556.5551330710423,True,15653155.8765716,269440545.87827665,0.0,201952228.68781936,253787390.00170505,201952228.68781936,True,True
uk,London,LU-soft,10.0,500.0,1.0,885.4345675397078,556.5551330710423,True,19410159.820997678,283063598.93388766,0.0,65437657.931897186,263653439.11288998,65437657.931897186,True,True
uk,London,Ref,10.0,100.0,0.5,291.78589221092733,208.60486953235977,True,1411439.4155313564,54279151.12367971,495667.4499999989,97434288.4115378,52867711.70814835,96938620.9615378,True,True
uk,London,Ref,10.0,300.0,0.5,291.78589221092733,208.60486953235977,True,4471079.837722389,76851233.66891028,446620.8641559321,80368845.32311794,72380153.83118789,79922224.45896201,True,True
uk,London,Ref,10.0,500.0,0.5,291.78589221092733,208.60486953235977,True,6149154.490166431,86337764.54114817,660595.6052604958,34148012.85504975,80188610.05098175,33487417.249789257,True,True
uk,London,Ref,10.0,100.0,0.8,366.28804295398464,208.60486953235977,True,1411439.4155313564,73931650.55098663,495667.4499999989,129470213.23105247,72520211.13545528,128974545.78105247,True,True
uk,London,Ref,10.0,300.0,0.8,366.28804295398464,208.60486953235977,True,4471079.837722389,98779448.90156478,446620.8641559321,108340732.30591568,94308369.06384239,107894111.44175975,True,True
uk,London,Ref,10.0,500.0,0.8,366.28804295398464,208.60486953235977,True,6149154.490166431,109989106.63570812,660595.6052604958,48564179.02383134,103839952.1455417,47903583.41857084,True,True
uk,London,Ref,10.0,100.0,0.9,462.7096532651495,208.60486953235977,True,1411439.4155313564,100766223.89939757,495667.4499999989,170931505.6648533,99354784.48386621,170435838.21485332,True,True
uk,London,Ref,10.0,300.0,0.9,462.7096532651495,208.60486953235977,True,4471079.837722389,128147233.85458097,446620.8641559321,147520805.13777107,123676154.01685858,147074184.27361515,True,True
uk,London,Ref,10.0,500.0,0.9,462.7096532651495,208.60486953235977,True,6149154.490166431,141180795.63500068,660595.6052604958,67221760.61904174,135031641.14483425,66561165.01378124,True,True
uk,London,Ref,10.0,100.0,1.0,477.5502757598935,208.60486953235977,True,1411439.4155313564,105011861.98570345,495667.4499999989,177312973.33759326,103600422.5701721,176817305.88759327,True,True
uk,London,Ref,10.0,300.0,1.0,477.5502757598935,208.60486953235977,True,4471079.837722389,132765813.50167923,446620.8641559321,153583199.426874,128294733.66395684,153136578.5627181,True,True
uk,London,Ref,10.0,500.0,1.0,477.5502757598935,208.60486953235977,True,6149154.490166431,146041526.65195033,660595.6052604958,70093421.0717747,139892372.1617839,69432825.46651421,True,True
uk,London,GNN-oof-42,10.0,100.0,0.5,428.57942488787484,494.177508776118,False,5978522.694669184,98749516.12377286,155399.63499999885,154792756.29310092,92770993.42910367,154637356.65810093,True,True
uk,London,GNN-oof-42,10.0,300.0,0.5,428.57942488787484,494.177508776118,False,12935658.323908143,120364965.36285123,0.0,84648348.73763102,107429307.03894308,84648348.73763102,True,True
uk,London,GNN-oof-42,10.0,500.0,0.5,428.57942488787484,494.177508776118,False,16348001.767050954,130786168.34672587,0.0,33022002.190201968,114438166.57967491,33022002.190201968,True,True
uk,London,GNN-oof-42,10.0,100.0,0.8,610.2579509566278,494.177508776118,True,5978522.694669184,152299622.73059368,155399.63499999885,232914522.50266474,146321100.0359245,232759122.86766475,True,True
uk,London,GNN-oof-42,10.0,300.0,0.8,610.2579509566278,494.177508776118,True,12935658.323908143,178019044.1090501,0.0,135427496.77384752,165083385.78514194,135427496.77384752,True,True
uk,London,GNN-oof-42,10.0,500.0,0.8,610.2579509566278,494.177508776118,True,16348001.767050954,190232141.22269717,0.0,52552443.74259291,173884139.45564622,52552443.74259291,True,True
uk,London,GNN-oof-42,10.0,100.0,0.9,702.2275197837782,494.177508776118,True,5978522.694669184,180916708.82202604,155399.63499999885,272461437.0983394,174938186.12735686,272306037.4633394,True,True
uk,London,GNN-oof-42,10.0,300.0,0.9,702.2275197837782,494.177508776118,True,12935658.323908143,207864386.41077626,0.0,161132991.26103604,194928728.0868681,161132991.26103604,True,True
uk,London,GNN-oof-42,10.0,500.0,0.9,702.2275197837782,494.177508776118,True,16348001.767050954,220872039.92506287,0.0,62439172.39151156,204524038.1580119,62439172.39151156,True,True
uk,London,GNN-oof-42,10.0,100.0,1.0,724.8426875667022,494.177508776118,True,5978522.694669184,188122246.66152486,155399.63499999885,282185959.2449967,182143723.96685567,282030559.60999674,True,True
uk,London,GNN-oof-42,10.0,300.0,1.0,724.8426875667022,494.177508776118,True,12935658.323908143,215258068.18344325,0.0,167453930.65636334,202322409.8595351,167453930.65636334,True,True
uk,London,GNN-oof-42,10.0,500.0,1.0,724.8426875667022,494.177508776118,True,16348001.767050954,228440140.13278884,0.0,64870302.928175904,212092138.3657379,64870302.928175904,True,True
uk,London,GNN-oof-123,10.0,100.0,0.5,407.3943766787556,428.56890659364353,False,4776069.4454561295,90337692.11153498,155399.63499999885,144744575.73003793,85561622.66607885,144589176.09503794,True,True
uk,London,GNN-oof-123,10.0,300.0,0.5,407.3943766787556,428.56890659364353,False,10783669.801030433,113217763.98888756,906511.3799999998,84112895.92102605,102434094.18785714,83206384.54102606,True,True
