signal,seed,location,fold,source_idx,itl3,n_edges,n_off,off_frac,aux_mass_v_sum,valid,G_all,G_off,ratio_off,min_w,n_w_below_floor,n_off_gradient_gated,max_t_off
prox,42,TLD6,fold2,0,TLD61,4140,3013,0.7277777777777777,2385.1071005783897,True,2796.361259701413,59.63965948747408,0.021327594666306533,2.6723365187386605e-10,830,830,1e-08
prox,42,TLD6,fold2,1,TLD62,26500,24237,0.9146037735849056,4636.571250687087,True,6598.257361640351,353.0856885661821,0.05351196069114887,1.8933719869718146e-10,16432,16432,1e-08
prox,42,TLD6,fold2,2,TLD63,20894,18726,0.8962381544941131,4456.602238445821,True,5006.1532302903415,244.39488554885276,0.04881889832498767,2.451142067094736e-10,9870,9870,1e-08
ntl,42,TLG1,fold2,0,TLG11,18409,18130,0.9848443696018252,435.200635497438,True,1430.7058971631993,69.34063236639905,0.04846602820599783,1.6075413569738295e-11,703,703,1e-08
ntl,42,TLG1,fold2,1,TLG12,14774,13755,0.9310274807093543,1978.9070927117987,True,3549.6156621832693,86.20825230154088,0.024286644106285185,3.85129818661345e-12,853,853,1e-08
ntl,42,TLG1,fold2,2,TLG13,16863,15613,0.9258732135444464,2578.4973543179863,True,3370.530271430211,105.93750656589316,0.031430516279250295,1.0430593021248935e-12,938,938,1e-08
prox,42,TLG1,fold2,0,TLG11,18409,18130,0.9848443696018252,347.8060831726509,True,1540.0821698019308,69.34063236639905,0.04502398230824068,1.6075413569738295e-11,703,703,1e-08
prox,42,TLG1,fold2,1,TLG12,14774,13755,0.9310274807093543,1316.5200765315165,True,3833.0793552178707,86.20825230154088,0.022490599414329328,3.85129818661345e-12,853,853,1e-08
prox,42,TLG1,fold2,2,TLG13,16863,15613,0.9258732135444464,1876.3974122726427,True,3724.232177057345,105.93750656589316,0.028445462454920935,1.0430593021248935e-12,938,938,1e-08
ntl,42,TLG2,fold4,0,TLG21,2344,1979,0.8442832764505119,863.0938821172887,True,1061.9973601116033,243.21883946289975,0.22902019213808625,1.1133482580305554e-08,0,0,1e-08
ntl,42,TLG2,fold4,1,TLG22,25775,25239,0.9792046556741029,879.3938836112908,True,2415.5305933168784,337.6289567636647,0.13977424160877652,2.915243046963667e-10,3854,3854,1e-08
ntl,42,TLG2,fold4,2,TLG23,772,381,0.49352331606217614,1070.7525887739848,True,1169.0132633519818,0.3383670445014801,0.0002894467112642161,1.4671549024569686e-06,0,0,1e-08
ntl,42,TLG2,fold4,3,TLG24,21357,19702,0.9225078428618252,3710.4997904432394,True,11834.688980767407,7135.993831524262,0.6029726546359595,1.3211045590821868e-08,0,0,1e-08
